id	册	章	raw页	tex行	类型	严重度	描述	状态	证据	commit
代数1-43	代数（第一册）	第1章	21	979-981	文本乱码与强调	高	“有理数大小的规定”恢复黑体标题与强调，彻底清除“+5>-5_{+}+5>-6”等OCR乱码字符	已修	raw第21页黑体标题、着重号及算式“+5>-5, +5>-6”	b9733fc
代数1-44	代数（第一册）	第1章	21	1007-1022	框图失真	高	“有理数大小的比较法则”重构为规范带框法则框，底标法制名	已修	raw第21页有理数大小比较法则外框图	b9733fc
代数1-45	代数（第一册）	第1章	22	1032	标点排版	低	例1后“注”并入单行，与因为所以符号说明同行紧凑排布	已修	raw第22页第1行“注 记号…”	b9733fc
代数1-46	代数（第一册）	第1章	22	1054-1057	数学乱码与漏符	高	例3解题步骤中破损公式（|-4.07| > -3.56 ]）修复为|-4.07|>|-3.56|，补回遗漏的“∵”推导符号	已修	raw第22页印刷推导步骤	b9733fc
代数1-47	代数（第一册）	第1章	22-23	1075-1150	环境碎片化与文本符号	中	习题1·7增补丢失的题头，整合同一enumerate，修复textbar为绝对值竖线并表格化规整多题	已修	raw第22-23页习题1·7完整体例	b9733fc
代数1-48	代数（第一册）	第1章	26-27	1397-1410	框图失真	高	“有理数的加法法则”重构为规范带框法则框，底标法则名	已修	raw第26-27页有理数加法法则框图	c3df2e0
代数1-49	代数（第一册）	第1章	27-28	1414-1435	标点排版	低	例1、例2、例3小题排版紧凑化，修复分号句号等标点	已修	raw第27-28页例1至例3排版	c3df2e0
代数1-50	代数（第一册）	第1章	28-29	1466-1478	排版混乱	中	例4碎裂的tag公式重构为align*规范对齐连续计算链	已修	raw第28-29页例4推导步骤	c3df2e0
代数1-51	代数（第一册）	第1章	29	1485-1510	环境碎片化	中	习题1·8整合为单一完整enumerate，第2题20道子题双列tabular规整排布	已修	raw第29页习题1·8排版	c3df2e0
代数1-52	代数（第一册）	第1章	30	1608-1614	样式失真	中	恢复加法交换律定义关键语句的着重号与加粗强调	已修	raw第30页倒数第2行“加法中的两个加数…”着重号	3358544
代数1-53	代数（第一册）	第1章	31	1616-1623	框图失真	高	“加法交换律”公式重构为规范带框法则框，底标法则名	已修	raw第31页顶部加法交换律外框图	3358544
代数1-54	代数（第一册）	第1章	31	1637-1654	排版混乱	中	加法结合律引出例（2）撕裂的5段公式重构为规范align*对齐推导	已修	raw第31页加法结合律（2）推导步骤	3358544
代数1-55	代数（第一册）	第1章	31	1656-1667	框图失真	高	“加法结合律”重构为规范带框法则框，底标法则名，定义语句恢复强调	已修	raw第31页加法结合律外框图	3358544
代数1-56	代数（第一册）	第1章	31	1669	错字	高	例1题干中加数“6286”更正为“6236”，规范标点句号	已修	raw第31页例1第1行“3764+2985+6236”	3358544
代数1-57	代数（第一册）	第1章	32	1686	算式错误	高	例2解题第3步加数误植“-6 2/3”更正为“-5 2/3”，修复推导数学逻辑	已修	raw第32页例2解题第10行“[(-5 2/3)+(-1 1/3)]”	3358544
代数1-58	代数（第一册）	第1章	31-33	1671-1718	排版混乱	中	例1至例4计算过程由array/碎裂公式重构为规范align*多行对齐	已修	raw第31-33页例1至例4排版	3358544
代数1-59	代数（第一册）	第1章	33	1746	算式错误	高	习题1·9第6题第3项分母“-3 1/2”更正为“-3 1/4”，消除碎裂displaymath显示环境	已修	raw第33页习题1·9第6小题“(-3 1/4)”	3358544
代数1-60	代数（第一册）	第1章	35	1795-1801	框图失真	高	“有理数的减法法则”公式重构为规范带框法则框，底标法则名	已修	raw第35页有理数减法法则外框图	e73a1ec
代数1-61	代数（第一册）	第1章	35	1793	样式失真	中	恢复减法法则核心定义语句“减去一个数等于加上这个数的相反的数”的强调样式	已修	raw第35页第3行减法法则全句着重号	e73a1ec
代数1-62	代数（第一册）	第1章	35-36	1813-1901	排版混乱	中	例1至例3题干与解答排版规整化，多步运算推导重构为规范align*对齐环境	已修	raw第35-36页例1至例3两步计算推导	e73a1ec
代数1-63	代数（第一册）	第1章	36-37	1905-1958	环境碎片化与公式错乱	高	习题1·10重构为统一规范enumerate，修复第2题子题中全角字符与脱离数学模式问题，前12题双列tabular整齐排布	已修	raw第36-37页习题1·10体例与双列排版	e73a1ec
代数1-64	代数（第一册）	第1章	37	1897	算式错误	高	问题1【解1】算式中加数“25.8”误植，根据第一天播种“25亩3分”更正为“25.3”	已修	raw第37页“63 - (25.3 + 26.2) = 63 - 51.5 = 11.5(亩)”	746d63a
代数1-65	代数（第一册）	第1章	38	1909	样式失真	中	恢复减法去括号性质语句“从一个数减去两个数的和，与从这个数里连续减去这两个数的结果是一样的”强调样式	已修	raw第38页第1-3行着重号	746d63a
代数1-66	代数（第一册）	第1章	38	1933-1941	框图失真	高	“去括号法则”公式重构为规范自适应带框法则框，底标法则名	已修	raw第38页去括号法则外框图	746d63a
代数1-67	代数（第一册）	第1章	38-39	1911-1969	排版混乱	中	问题2、例1、例2多步运算推导重构为规范align*对齐环境，忠实恢复例2题干项正号体例	已修	raw第38-39页问题2与例1、例2排版	746d63a
代数1-68	代数（第一册）	第1章	39	1975-1984	环境碎片化	中	习题1·11重构为统一规范enumerate，规范题末分号与句号	已修	raw第39页习题1·11完整体例	746d63a
代数1-69	代数（第一册）	第1章	40	2002	样式失真	中	恢复代数和核心定义语句“表示几个正数、负数或者零相加所得的和叫做这几个数的代数和”强调样式	已修	raw第40页代数和正式定义全句着重号	76570c1
代数1-70	代数（第一册）	第1章	40-41	1995-2022	排版混乱	中	代数和转加法与例题多步运算推导由碎裂公式重构为规范align*对齐环境	已修	raw第40-41页例题推导步骤	76570c1
代数1-71	代数（第一册）	第1章	41	2035	算式错误	高	习题1·12第5题运算符号误植（中括号内末项“-1 1/6”误植为减号），根据巧算结构与书后答案更正为“+1 1/6”	已修	raw第41页印刷符号“+1\frac{1}{6}”，核算与书后答案一致（答案为-1）	76570c1
代数1-72	代数（第一册）	第1章	41	2030-2041	环境碎片化与脱离数学模式	高	习题1·12重构为统一规范enumerate，修复第2、3、4、7、9题算式脱离数学模式的文本问题，统一标点	已修	raw第41页习题1·12完整体例	76570c1
代数1-73	代数（第一册）	第1章	42-44	2089-2274	样式失真	中	恢复问题2至5方向与时间关键词（“从西向东”、“从东向西”、“午后”、“午前”）的强调样式	已修	raw第42-44页问题2至5下着重号	970c935
代数1-74	代数（第一册）	第1章	45	2339-2364	框图失真	高	“有理数的乘法法则”与“有理数乘法的符号法则”重构为规范带框法则框，恢复符号口诀强调	已修	raw第45页两处乘法法则外框图及口诀着重号	970c935
代数1-75	代数（第一册）	第1章	46-47	2366-2415	排版混乱与环境碎片化	中	例1小题规范双列排布；规范小节标题“习题1·13（1）”，前12题双列表格化排布，混合运算规整为统一enumerate	已修	raw第46-47页例1与习题1·13(1)体例，书后答案标名	970c935
代数1-76	代数（第一册）	第1章	47-48	2435-2444	框图失真	高	“三个或者更多个有理数的乘法法则”重构为规范带框法则框，恢复“定正负符号”“定绝对值”强调	已修	raw第47页法则外框图及下着重号	970c935
代数1-77	代数（第一册）	第1章	47-48	2448	题目错误	高	例3(1)题干第三项误植为“-3”导致5个负号与“四个负号积为正”相矛盾，根据解答推导算式与逻辑更正为“+3”	已修	raw第47-48页例3解答印刷字“(+3)”及说明“这里有四个负号，积是正的”	970c935
代数1-78	代数（第一册）	第1章	48	2485-2500	环境碎片化与语法脱漏	高	恢复缺失的小节标题“习题1·13（2）”，全组10题整合为规范enumerate，修复第10题末项算式脱漏在环境外的严重语法破损	已修	raw第48页题目标题黑块“习题1·13(2)”及完整题例，书后答案标名	970c935
代数1-79	代数（第一册）	第1章	49-50	2522-2578	样式失真	中	恢复乘法交换律、乘法结合律与乘法分配律核心定义语句的强调样式	已修	raw第49-50页三处运算性质全句着重号	a9b3dcc
代数1-80	代数（第一册）	第1章	50	2582-2595	框图失真	高	“乘法运算的性质”综合三律重构为规范双列带框法则框，底标性质名	已修	raw第50页乘法运算性质综合外框图	a9b3dcc
代数1-81	代数（第一册）	第1章	50-51	2599-2646	排版混乱	中	例1至例3运算推导由碎裂公式重构为规范align*等号对齐环境	已修	raw第50-51页例1至例3分步推导	a9b3dcc
代数1-82	代数（第一册）	第1章	51	2659	算式错误	高	习题1·14第8题末项因数运算符号误植（原印“(-60)”为减号），对照印刷放大字“(+60)”及书后答案“-43”更正为正号	已修	raw第51页印刷算式“\times (+60)”，核算与书后答案一致（答案为-43）	a9b3dcc
代数1-83	代数（第一册）	第1章	51	2651-2660	环境碎片化与语法脱漏	高	习题1·14重构为统一规范enumerate，修复第7题后半段算式脱漏在环境外的严重语法破损	已修	raw第51页习题1·14完整体例	a9b3dcc
代数1-84	代数（第一册）	第1章	52-53	2710-2720	框图失真与样式	高	“有理数的除法法则”重构为规范带框法则框，恢复商符号口诀及“零不能做除数”重点强调	已修	raw第52-53页除法法则外框图、口诀着重号及黑体重点提示	72d4276
代数1-85	代数（第一册）	第1章	53	2735	符号误读	高	例1(5)解题算式符号误识（“\div (11/3 \div 11/2)”误多出除号），纠正为正号“+(11/3 \div 11/2)”	已修	raw第53页例1(5)解题印刷符号“= +(\frac{11}{3} \div \frac{11}{2})”	72d4276
代数1-86	代数（第一册）	第1章	53-54	2725-2758	排版混乱	中	例1题干双列表格化排布，例1与例2解答多步推导重构为规范双列及等号对齐环境	已修	raw第53-54页例1与例2排版体例	72d4276
代数1-87	代数（第一册）	第1章	55	2780	算式错误	高	习题1·15第16题分子前误多出负号（“- 1/(-0.3)”），导致结果符号反转，对照原书及答案“-3 1/3”更正为“1/(-0.3)”	已修	raw第55页印刷算式及第290页答案“-3\frac{1}{3}”	72d4276
代数1-88	代数（第一册）	第1章	54-55	2765-2785	环境碎片化与题号错乱	高	习题1·15由十余个碎片enumerate重构为统一规范enumerate，彻底纠正由于OCR双列交错转录导致的严重题号乱序	已修	raw第54-55页习题1·15完整双列20题体例	72d4276
代数1-89	代数（第一册）	第1章	290	17240	字符乱码	中	书后习题答案第16题严重OCR识别乱码（“-\frac{3\frac{1}{2}}{3}”），对照印刷页还原为“-3\frac{1}{3}”	已修	raw第290页习题1·15第16题答案印刷字“-3\frac{1}{3}”	72d4276
代数1-90	代数（第一册）	第1章	55	2793	样式失真	中	恢复倒数核心定义语句“如果有两个数的乘积等于1，那末它们叫做互为倒数”强调样式	已修	raw第55页倒数定义全句着重号	e2a1969
代数1-91	代数（第一册）	第1章	56	2815-2822	排版混乱与环境碎片化	中	规范习题1·16全半角标点与中文引号，修复第7题(1)与(2)脱漏在enumerate外的语法严重破损并双列规整	已修	raw第56页习题1·16完整体例	e2a1969
代数1-92	代数（第一册）	第1章	58	2925	样式失真	中	恢复乘方、幂、底数、指数核心概念词汇的黑体重点强调样式	已修	raw第58页第1-3行概念定义黑体字	3004f5a
代数1-93	代数（第一册）	第1章	58	2960-2970	框图失真	高	“乘方的运算法则”重构为规范带框法则框，底标法则名	已修	raw第58页乘方的运算法则外框图	3004f5a
代数1-94	代数（第一册）	第1章	58-60	2935-3060	排版混乱	中	例1运算分步对齐，例3题干表格化三列排布、解答双列排布，规范引号与标点	已修	raw第58-60页例1至例5排版体例	3004f5a
代数1-95	代数（第一册）	第1章	60	3073	算式错误	高	习题1·17第1(2)题指数字母OCR误植（“(-2)^n”误把数字5识为字母n），对照印刷页“(-2)^5”更正为数字指数	已修	raw第60页习题1·17第1题第(2)小题印刷式“(-2)^5”及题意“算出结果”	3004f5a
代数1-96	代数（第一册）	第1章	60	3065-3140	环境碎片化与标题缺失	高	补全恢复缺失的小节标题“习题1·17”，全组6大题小题表格化4列/双列紧凑规整，消除百余行碎片enumerate	已修	raw第60页题目标题黑块“习题1·17”及完整题例	3004f5a
代数1-97	代数（第一册）	第1章	61-62	3074	样式失真	中	恢复有效数字、科学记数法核心概念术语段首黑体强调样式	已修	raw第61页及第65页黑体概念标题	f105ffc
代数1-98	代数（第一册）	第1章	62-64	3132-3217	文字被截断与字符误插	高	例1查表(4)中“修正值”被平方表格从中间粗暴截断并误插“修平方表”字样，理顺查表步骤至表格前完整闭合	已修	raw第62-64页例1跨页完整查表步骤与“修正值”原文	f105ffc
代数1-99	代数（第一册）	第1章	64	3220-3245	排版混乱	中	例2与例3分步推导重构为规范align*等号对齐环境	已修	raw第64页例2与例3排版体例	f105ffc
代数1-100	代数（第一册）	第1章	65	3265-3320	环境碎片化	中	习题1·18由8个碎片enumerate重构为统一规范enumerate，第1题双列表格化排布，消除跨页断词	已修	raw第65页习题1·18完整体例	f105ffc
代数1-101	代数（第一册）	第1章	66	3299	样式失真	中	恢复第一级、第二级、第三级运算定义语句段首黑体强调样式	已修	raw第66页前两行着重号/黑体重点	
代数1-102	代数（第一册）	第1章	66	3305-3315	框图失真	高	“有理数的运算顺序”重构为规范带框法则框，底标法则名	已修	raw第66页有理数运算顺序外框图	
代数1-103	代数（第一册）	第1章	66-67	3320-3350	排版混乱	中	例1至例3分步推导重构为规范align*等号对齐环境，消除例2第二行Overfull溢出	已修	raw第66-67页例1至例3分步解答	
代数1-104	代数（第一册）	第1章	67	3358	算式错误	高	习题1·19第1题运算符号严重OCR误植（“(-5) \times (-4) \div 3”误把加号识为除号），对照印刷页放大字及答案“14”更正为加号	已修	raw第67页印刷算式“(-5)\times(-4)+3\times(-2)”及第290页答案“14”	
代数1-105	代数（第一册）	第1章	67	3366	算式错误	高	习题1·19第9题第三项运算符号严重OCR误植（“\div 3 \times (-1/2)”误把加号识为除号），对照印刷页放大字及答案“-3 1/2”更正为加号	已修	raw第67页印刷算式“+3\times(-\frac{1}{2})”及第290页答案“-3\frac{1}{2}”	
代数1-106	代数（第一册）	第1章	67	3355-3370	环境碎片化	中	习题1·19整合为规范统一enumerate，规范题末分号与句号	已修	raw第67页习题1·19完整体例	
物理3-1	物理（第三册）	第1章	36	1901-1925	图拓扑	中	图1.23 TikZ 仅5条竖直平行电力线，缺印刷页平行板体、+/- 电荷标与两侧边缘弯曲电力线	已修	raw PDF p39=印刷·36·；fig-p0039-01；对照扫描裁切亦有边缘弯曲与+/-；B01a 已按 raw 重画 TikZ	5b6f8d0
物理3-2	物理（第三册）	第2章	108	6509-6550	缺标	中	图2.8 双量程安培表 TikZ 仅外形框+弧+指针+A，缺印刷页底部三个接线柱（双量程关键拓扑）	已修	raw PDF p111=印刷·108·；fig-p0111-01；B01a 已按 raw 重画 TikZ	5b6f8d0
物理3-3	物理（第三册）	第2章	109	6687-6718	缺标	中	图2.10 双量程伏特表 TikZ 同图2.8 过度简化，缺印刷页接线柱等仪表拓扑细节	已修	raw PDF p112=印刷·109·；fig-p0112-05；B01a 已按 raw 重画 TikZ	5b6f8d0
物理3-4	物理（第三册）	第2章	119	7441-7448	图题OCR	高	图2.14 题文OCR「沪岛」→「滑动」已改正文 caption；TikZ 缺 A/B/C/D 接线柱与滑片标仍待修图批	已修	raw PDF p122=印刷·119·；fig-p0122-01；已改 L7448 caption；拓扑另批	24b8411
物理3-5	物理（第三册）	第2章	119	7550-7612	图拓扑	高	图2.15 转柄变阻器 TikZ 画成圆盘触点，印刷页为矩形框架+一排螺旋电阻线+触钉+转柄 T，且有 A/B/T 标	已修	raw PDF p122=印刷·119·；fig-p0122-02；B01a 已按 raw 重画 TikZ	5b6f8d0
物理3-6	物理（第三册）	第2章	121	7678-7718	图拓扑	中	图2.18 旋键式电阻箱 TikZ 顶面仅4个旋钮圆，印刷页为5个旋钮呈梯形排布，另有侧面两接线柱	已修	raw PDF p124=印刷·121·；fig-p0124-01；B01a 已按 raw 重画 TikZ	5b6f8d0
物理3-7	物理（第三册）	第2章	108	6483	内容疑误	高	微安表符号误作 \(\mu \Delta\)，已改正文为 \(\mu\mathrm{A}\)（对照印刷与物理惯例）	已修	raw PDF p111=印刷·108·；已改 L6483；图2.8 语境相邻	24b8411
物理3-8	物理（第三册）	第3章	242	17018-17051	图拓扑	低	图3.51 质谱仪：TikZ 有磁场轨迹斜下；需再核印刷页偏转方向、B/S 标与「电压差U/照相底片」等用词是否一致	已修	raw PDF p245=印刷·242·；fig-p0245-01；B01b 已按 raw 重画 TikZ（电压差U、照相底片、S/B、虚线无磁场束、偏转向下）	1360f8f
物理3-9	物理（第三册）	第4章	260	19028-19034	图拓扑	高	图4.2 TikZ 仅三椭圆+方块+箭头，缺印刷页铁架台、固定磁铁、上移螺线管、电流表及偏转指针等完整实验装置	已修	raw PDF p263=印刷·260·；fig-p0263-03；B01b 已按 raw 重画 TikZ（铁架台、固定磁铁、下移螺线管、电流表左偏）	1360f8f
物理3-10	物理（第三册）	第4章	286	21121-21126	图拓扑	中	图4.21 双线绕法 TikZ 仅两条水平线圈装饰线，缺印刷页线轴/骨架上双线并绕及引出线拓扑	已修	raw PDF p289=印刷·286·；fig-p0289-03；B01b 已按 raw 重画 TikZ（线轴双线并绕及引出线）	1360f8f
物理3-11	物理（第三册）	第4章	293	21457,21511	错标	高	图4.24 电力网示意图升压侧电压 TikZ「10000伏」→「10500伏」已改（对照印刷）；其余电压标注大体同	已修	raw PDF p296=印刷·293·；fig-p0296-01；已改 L21457 node	24b8411
物理3-12	物理（第三册）	第1章	90	5279-5319	图拓扑	中	图1.61 各种电容器 TikZ 原过简缺印刷页三组「符号」及(d)顶接线柱/(e)底引出/(f)交错动片等外形拓扑	已修	raw PDF p93=印刷·90·；fig-p0093-03/05；B02 已按 raw 重画 TikZ	3e2a626
物理3-13	物理（第三册）	第2章	127	8058-8094	图拓扑	高	图2.20 TikZ 原漏斗+残缺电路，缺印刷页煤油瓶R1/R2、电池组、电键、安培表、变阻器及(b)(c)电路拓扑	已修	raw PDF p130=印刷·127·；fig-p0130-02；B02 已按 raw 重画 TikZ	3e2a626
物理3-14	物理（第三册）	第2章	127	8093-8103	图题OCR/内容疑误	高	图2.20 caption「电阻丝热效应实验」→「研究电流产生的热量」；正文「扭手用」→「瓶塞上」；焦耳定律提示框并入段落且公式误作0.24R²Rt→0.24I²Rt	已修	raw PDF p130=印刷·127·；对照印刷提示框与图题；B02 已改正文	3e2a626
物理3-15	物理（第三册）	第2章	184	12076-12088	图拓扑	高	图2.58 弧光灯 TikZ 仅两短棒+弧，缺印刷页底座立柱、齿轮/弧齿手动调节器与上下碳棒夹具	已修	raw PDF p187=印刷·184·；fig-p0187-01；B02 已按 raw 重画 TikZ	3e2a626
物理3-16	物理（第三册）	第3章	200	13542-13553	图拓扑	高	图3.1 天然磁体 TikZ 误作条形N–S，印刷为不规则磁铁矿吸铁屑/针簇	已修	raw PDF p203=印刷·200·；fig-p0203-01；B02 已按 raw 重画 TikZ	3e2a626
物理3-17	物理（第三册）	第3章	200	13555-13569	图拓扑	中	图3.2 永磁体形状 TikZ 缺半黑半白极面，外形组合与印刷条/针/蹄/棒不符	已修	raw PDF p203=印刷·200·；fig-p0203-02；B02 已按 raw 重画 TikZ	3e2a626
物理3-18	物理（第三册）	第3章	205	13974-13985	图题OCR/图拓扑	高	图3.12 caption OCR「李其磁体周围向磁力线」→「条形磁体周围的磁力线」；TikZ 径向射线改为N→S弧形磁力线	已修	raw PDF p208=印刷·205·；fig-p0208-02；B02 已改 caption+TikZ	3e2a626
物理3-19	物理（第三册）	第3章	229	16294-16352	错标	中	图3.39 灵敏电流表软铁柱标E→K、刻度盘标B→G（对照印刷）	已修	raw PDF p232=印刷·229·；fig-p0232-02；B02 已改 node	3e2a626
物理3-20	物理（第三册）	第3章	251	17857-17867	图拓扑	高	复习题三第5题(d) TikZ 为椭圆+方块占位，缺印刷页凹面磁极、倾斜线圈与F1/F2力偶	已修	raw PDF p254=印刷·251·；fig-p0254-04；B02 已按 raw 重画 TikZ	3e2a626
物理3-21	物理（第三册）	第3章	251	17874	内容疑误	高	复习题三第6题「OA=20B」→「OA=2OB」（对照印刷与相邻 fig-alt）	已修	raw PDF p254=印刷·251·；B02 已改正文	3e2a626
物理3-22	物理（第三册）	第4章	299	22465-22477	图拓扑	高	图4.26 涡电流实验 TikZ 原仅圆+上下N/S，缺印刷页电磁铁两极间金属摆、涡流虚线回路I与摆动箭	已修	raw PDF p302=印刷·299·；fig-p0302-01；B03 已按 raw 重画 TikZ	e0566e4
物理3-23	物理（第三册）	第4章	299	22482-22490	图题OCR/图拓扑	高	图4.27 caption OCR「达制」→「叠制」；TikZ 原仅竖条，缺线圈～/i、顶面B箭及片内涡流示意	已修	raw PDF p302=印刷·299·；fig-p0302-02；B03 已改 caption+TikZ	e0566e4
物理3-24	物理（第三册）	第5章	325	24560-24620	图拓扑	中	图5.6 旋转磁极式发电机印刷为四凸极转子，TikZ 原近两极简化	已修	raw PDF p328=印刷·325·；fig-p0328-02；B03 已按 raw 重画为四极	e0566e4
